channel_cost,mean_lifetime,std_lifetime,extinction_count,mean_peak_pop,mean_total_cells,mean_area_under_pop,mean_avg_channels
0.94,42.0,0.0,10,1.0,41.0,40.5,1.18
0.945,40.0,0.0,10,1.0,39.0,38.5,1.173
0.95,39.0,0.0,10,1.0,38.0,37.5,1.169
0.955,37.0,0.0,10,1.0,36.0,35.5,1.161
0.96,36.0,0.0,10,1.0,35.0,34.5,1.158
0.965,34.0,0.0,10,1.0,33.0,32.5,1.15
0.97,33.0,0.0,10,1.0,32.0,31.5,1.146
0.975,32.0,0.0,10,1.0,31.0,30.5,1.142
0.98,31.0,0.0,10,1.0,30.0,29.5,1.138
0.985,30.0,0.0,10,1.0,29.0,28.5,1.133
0.99,29.0,0.0,10,1.0,28.0,27.5,1.129
0.995,27.0,0.0,10,1.0,26.0,25.5,1.12
1.0,27.0,0.0,10,1.0,26.0,25.5,1.12
1.005,26.0,0.0,10,1.0,25.0,24.5,1.115
1.01,25.0,0.0,10,1.0,24.0,23.5,1.11
1.015,24.0,0.0,10,1.0,23.0,22.5,1.105
1.02,23.0,0.0,10,1.0,22.0,21.5,1.1
1.025,22.0,0.0,10,1.0,21.0,20.5,1.095
1.03,21.0,0.0,10,1.0,20.0,19.5,1.089
1.035,21.0,0.0,10,1.0,20.0,19.5,1.089
1.04,20.0,0.0,10,1.0,19.0,18.5,1.083
1.045,19.0,0.0,10,1.0,18.0,17.5,1.077
1.05,18.0,0.0,10,1.0,17.0,16.5,1.07
1.055,18.0,0.0,10,1.0,17.0,16.5,1.07
1.06,17.0,0.0,10,1.0,16.0,15.5,1.063
1.065,17.0,0.0,10,1.0,16.0,15.5,1.063
1.07,16.0,0.0,10,1.0,15.0,14.5,1.056
1.075,15.0,0.0,10,1.0,14.0,13.5,1.048
1.08,15.0,0.0,10,1.0,14.0,13.5,1.048
1.085,14.0,0.0,10,1.0,13.0,12.5,1.039
1.09,14.0,0.0,10,1.0,13.0,12.5,1.039
1.095,13.0,0.0,10,1.0,12.0,11.5,1.029
1.1,13.0,0.0,10,1.0,12.0,11.5,1.029
